City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
110,Cabedelo,BR,2021-03-28 13:36:48,-6.9811,-34.8339,77.0,100,90,7.34
111,Shebunino,RU,2021-03-28 13:36:49,46.4339,141.8603,38.43,63,100,15.64
112,Narsaq,GL,2021-03-28 13:36:49,60.9167,-46.05,20.61,53,0,1.45
113,Kalmar,SE,2021-03-28 13:36:49,56.6616,16.3616,48.2,61,0,12.66
114,San Quintin,MX,2021-03-28 13:36:49,30.4833,-115.95,59.32,38,0,2.98
115,Nuuk,GL,2021-03-28 13:36:41,64.1835,-51.7216,6.8,66,20,12.66
116,Alofi,NU,2021-03-28 13:36:50,-19.0595,-169.9187,77.0,94,15,5.75
117,Tuatapere,NZ,2021-03-28 13:36:50,-46.1333,167.6833,55.0,97,100,3.56
118,Mecca,SA,2021-03-28 13:36:50,21.4267,39.8261,87.46,35,1,13.13
119,Okha,RU,2021-03-28 13:36:50,53.5739,142.9478,18.59,98,61,7.29
120,Itoman,JP,2021-03-28 13:36:51,26.1247,127.6694,71.6,94,75,5.75
121,Lasa,IT,2021-03-28 13:36:51,46.6166,10.7002,66.2,24,0,4.61
122,Olafsvik,IS,2021-03-28 13:36:51,64.8945,-23.7142,31.5,76,100,18.1
123,Jacksonville,US,2021-03-28 13:31:57,30.3322,-81.6556,73.99,83,75,3.44
124,Ribeira Grande,PT,2021-03-28 13:36:52,38.5167,-28.7,62.6,72,40,13.8
125,Hornepayne,CA,2021-03-28 13:36:52,49.2138,-84.7705,26.42,88,100,13.47
126,Yerbogachen,RU,2021-03-28 13:36:52,61.2767,108.0108,13.77,97,87,3.0
127,Hammerfest,NO,2021-03-28 13:36:52,70.6634,23.6821,35.6,75,40,16.11
128,Comodoro Rivadavia,AR,2021-03-28 13:33:15,-45.8667,-67.5,68.0,64,0,9.78
129,Thompson,CA,2021-03-28 13:36:53,55.7435,-97.8558,-13.0,84,40,1.59
130,Abeokuta,NG,2021-03-28 13:36:53,7.15,3.35,102.76,24,7,2.3
131,Winton,US,2021-03-28 13:36:53,37.3894,-120.6133,46.99,100,1,1.25
132,Mangan,IN,2021-03-28 13:36:53,27.5167,88.5333,66.45,35,48,4.34
133,Grants Pass,US,2021-03-28 13:34:03,42.439,-123.3284,44.6,93,1,1.03
134,Bredasdorp,ZA,2021-03-28 13:36:54,-34.5322,20.0403,69.8,60,100,20.71
135,Kodiak,US,2021-03-28 13:36:54,57.79,-152.4072,33.8,34,1,9.22
136,San Cristobal,VE,2021-03-28 13:36:54,7.7669,-72.225,73.4,94,75,2.3
137,Erenhot,CN,2021-03-28 13:36:54,43.6475,111.9767,36.88,21,0,9.75
138,Mandalgovi,MN,2021-03-28 13:33:49,45.7625,106.2708,32.25,28,37,4.94
139,Gualeguay,AR,2021-03-28 13:36:55,-33.1416,-59.3097,61.36,89,100,9.06
140,Saldanha,ZA,2021-03-28 13:36:55,-33.0117,17.9442,84.2,30,100,8.05
141,Isla Mujeres,MX,2021-03-28 13:36:55,21.2311,-86.731,80.01,78,40,14.97
142,Aden,YE,2021-03-28 13:32:38,12.7794,45.0367,82.24,60,7,8.19
143,Poitiers,FR,2021-03-28 13:36:11,46.5833,0.3333,64.99,34,0,3.44
144,Sistranda,NO,2021-03-28 13:36:56,63.7256,8.834,50.0,37,0,8.68
145,Nioro,GM,2021-03-28 13:36:56,13.35,-15.75,102.31,8,1,8.5
146,Arraial Do Cabo,BR,2021-03-28 13:36:56,-22.9661,-42.0278,86.0,74,20,11.5
147,Buchanan,LR,2021-03-28 13:36:56,5.8808,-10.0467,89.6,70,75,5.75
148,Oussouye,SN,2021-03-28 13:36:57,12.485,-16.5469,93.2,31,0,4.61
149,Zhigansk,RU,2021-03-28 13:36:57,66.7697,123.3711,-1.1,99,73,4.38
150,Hastings,GB,2021-03-28 13:34:34,50.8552,0.5729,54.0,63,100,8.99
151,Voh,NC,2021-03-28 13:36:57,-20.9667,164.7,76.3,87,23,4.68
152,Antalaha,MG,2021-03-28 13:36:57,-14.9003,50.2788,82.47,72,21,6.89
153,Bien Hoa,VN,2021-03-28 13:36:58,10.95,106.8167,82.4,74,20,10.36
154,Saint-Philippe,RE,2021-03-28 13:36:58,-21.3585,55.7679,86.0,74,75,8.05
155,Beloha,MG,2021-03-28 13:36:58,-25.1667,45.05,77.72,68,75,12.97
156,Castro,BR,2021-03-28 13:36:58,-24.7911,-50.0119,78.75,54,14,6.78
157,Atuona,PF,2021-03-28 13:36:59,-9.8,-139.0333,80.92,71,100,18.48
158,Road Town,VG,2021-03-28 13:36:59,18.4167,-64.6167,78.8,83,40,12.66
159,Broome,US,2021-03-28 13:36:59,42.2506,-75.833,52.0,71,90,17.27
160,Shingu,JP,2021-03-28 13:35:14,33.7333,135.9833,62.98,95,100,7.52
161,Luderitz,NA,2021-03-28 13:37:00,-26.6481,15.1594,70.66,60,7,8.9
162,Bambous Virieux,MU,2021-03-28 13:37:00,-20.3428,57.7575,84.99,74,40,3.44
163,Georgetown,MY,2021-03-28 13:37:00,5.4112,100.3354,80.6,89,40,9.22
164,Hobyo,SO,2021-03-28 13:37:00,5.3505,48.5268,82.99,70,20,15.48
165,Airai,TL,2021-03-28 13:37:01,-8.9266,125.4092,60.66,93,100,2.71
166,Omboue,GA,2021-03-28 13:37:01,-1.5746,9.2618,84.52,69,33,10.09
167,Hambantota,LK,2021-03-28 13:37:01,6.1241,81.1185,73.4,100,75,3.44
168,Torbay,CA,2021-03-28 13:37:01,47.6666,-52.7314,27.0,86,90,11.5
169,Colares,PT,2021-03-28 13:37:02,38.7992,-9.4469,73.0,46,0,9.22
170,Kulhudhuffushi,MV,2021-03-28 13:37:02,6.6221,73.07,84.76,68,73,10.22
171,Hithadhoo,MV,2021-03-28 13:37:02,-0.6,73.0833,83.1,76,100,17.31
172,Laem Sing,TH,2021-03-28 13:37:02,12.4816,102.0738,86.0,78,46,6.67
173,Statesville,US,2021-03-28 13:37:03,35.7826,-80.8873,64.0,100,90,10.36
174,Suba,PH,2021-03-28 13:37:03,10.8438,121.0102,82.9,80,59,17.07
175,College,US,2021-03-28 13:37:03,64.8569,-147.8028,6.8,66,40,5.75
176,Tondano,ID,2021-03-28 13:37:03,1.3038,124.9112,77.0,94,20,2.3
177,Pamplona,ES,2021-03-28 13:37:04,42.8169,-1.6432,70.0,40,20,3.44
178,Pevek,RU,2021-03-28 13:37:04,69.7008,170.3133,-17.61,96,22,2.26
179,Lodwar,KE,2021-03-28 13:37:04,3.1191,35.5973,98.01,18,88,10.31
180,Bima,ID,2021-03-28 13:37:04,-8.4667,118.7167,77.63,91,100,2.64
181,Meulaboh,ID,2021-03-28 13:37:05,4.1363,96.1285,78.44,84,84,2.89
182,Kerman,IR,2021-03-28 13:32:19,30.2832,57.0788,82.4,12,0,19.57
183,Hasaki,JP,2021-03-28 13:37:05,35.7333,140.8333,61.0,94,75,11.5
184,Maku,IR,2021-03-28 13:37:05,39.2911,44.4521,42.75,48,4,3.11
185,Leningradskiy,RU,2021-03-28 13:37:05,69.3833,178.4167,-16.02,94,20,5.03
186,Aklavik,CA,2021-03-28 13:37:06,68.2191,-135.0107,-20.2,76,99,4.61
187,Tomatlan,MX,2021-03-28 13:37:06,19.9333,-105.25,67.68,39,99,1.66
188,Mount Gambier,AU,2021-03-28 13:37:06,-37.8333,140.7667,51.8,93,0,6.91
189,Moranbah,AU,2021-03-28 13:37:06,-22.0016,148.0466,72.39,69,0,10.92
190,Zavallya,UA,2021-03-28 13:37:07,48.2135,30.0156,58.46,39,10,7.99
191,Baker City,US,2021-03-28 13:37:07,44.7749,-117.8344,30.2,80,1,4.47
192,Longyearbyen,SJ,2021-03-28 13:37:07,78.2186,15.6401,33.8,69,40,18.41
193,Mehamn,NO,2021-03-28 13:37:07,71.0357,27.8492,37.4,65,40,27.63
194,Verkhoyansk,RU,2021-03-28 13:37:08,67.5447,133.385,-7.83,100,72,1.01
195,Pesqueira,BR,2021-03-28 13:37:08,-8.3578,-36.6964,82.74,53,73,5.1
196,Svetlogorsk,BY,2021-03-28 13:37:08,52.6333,29.7333,45.68,86,100,3.78
197,San Patricio,US,2021-03-28 13:37:09,28.017,-97.5169,64.4,77,75,16.11
198,Esperance,AU,2021-03-28 13:37:09,-33.8667,121.9,64.4,82,0,1.14
199,Mahebourg,MU,2021-03-28 13:37:09,-20.4081,57.7,84.2,74,40,3.44
200,Arawa,PG,2021-03-28 13:37:09,-6.2132,155.5367,76.01,92,43,3.11
201,Matara,LK,2021-03-28 13:37:10,5.9485,80.5353,75.56,88,99,6.87
202,Candolim,IN,2021-03-28 13:37:10,15.5181,73.7626,86.0,79,40,8.05
203,Hovd,MN,2021-03-28 13:36:03,48.0056,91.6419,35.73,34,76,1.52
204,Lere,NG,2021-03-28 13:37:10,10.387,8.5726,94.14,10,0,9.84
205,North Bend,US,2021-03-28 13:37:10,43.4065,-124.2243,46.4,87,90,3.44
206,Saskylakh,RU,2021-03-28 13:37:11,71.9167,114.0833,-5.1,100,96,1.81
207,Fortuna,US,2021-03-28 13:37:11,40.5982,-124.1573,43.0,100,90,2.89
208,Saint Anthony,US,2021-03-28 13:37:11,45.0205,-93.218,33.8,74,75,10.36
209,Alyangula,AU,2021-03-28 13:37:11,-13.8483,136.4192,83.28,75,100,12.77
210,Sechura,PE,2021-03-28 13:37:12,-5.5569,-80.8222,75.31,63,96,8.48
211,Kargasok,RU,2021-03-28 13:37:12,59.0556,80.8572,28.69,96,100,9.04
212,Santa Maria,BR,2021-03-28 13:37:05,-29.6842,-53.8069,73.4,88,75,9.22
213,Moose Factory,CA,2021-03-28 13:37:12,51.2585,-80.6094,24.8,74,90,5.75
214,Bozoum,CF,2021-03-28 13:37:13,6.3193,16.3799,91.26,35,100,6.06
215,Ojinaga,MX,2021-03-28 13:37:13,29.5667,-104.4167,57.2,41,1,8.05
216,Tasiilaq,GL,2021-03-28 13:37:13,65.6145,-37.6368,17.6,62,20,3.44
217,Rio Gallegos,AR,2021-03-28 13:37:13,-51.6226,-69.2181,50.0,46,0,23.02
218,Sola,VU,2021-03-28 13:37:14,-13.8833,167.55,82.45,76,16,17.72
219,Eureka,US,2021-03-28 13:32:45,40.8021,-124.1637,43.0,100,90,4.61
220,Saint-Georges,GD,2021-03-28 13:37:14,12.0564,-61.7485,80.6,83,40,20.71
221,Portland,US,2021-03-28 13:34:02,45.5234,-122.6762,45.0,81,90,8.05
