City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
140,Inuvik,68.3499,-133.7218,-9.4,overcast clouds,53,96,6.91,CA
141,Alofi,-19.0595,-169.9187,84.2,scattered clouds,74,40,11.5,NU
142,Panzhihua,26.5851,101.7128,52.0,scattered clouds,66,34,2.19,CN
143,Lavrentiya,65.5833,-171.0,3.25,overcast clouds,88,100,4.18,RU
144,Kumo,10.0447,11.2122,82.02,scattered clouds,14,39,12.84,NG
145,Puerto Montt,-41.4698,-72.9447,57.2,broken clouds,88,75,2.3,CL
146,Carnarvon,-24.8667,113.6333,73.4,clear sky,100,0,5.75,AU
147,Warmbad,-28.45,18.7333,74.89,clear sky,34,3,7.09,NA
148,San Teodoro,13.4375,121.0193,78.01,overcast clouds,87,95,13.58,PH
149,Tura,25.5198,90.2201,69.19,clear sky,93,5,7.87,IN
150,Pundaguitan,6.3711,126.1689,81.36,broken clouds,78,76,9.71,PH
151,Cidreira,-30.1811,-50.2056,69.84,broken clouds,69,57,11.5,BR
152,Souillac,-20.5167,57.5167,78.8,light rain,89,40,3.44,MU
153,Vanimo,-2.6741,141.3028,79.38,overcast clouds,85,100,3.02,PG
154,Yulara,-25.2406,130.9889,64.4,clear sky,42,0,6.91,AU
155,Sangar,63.9242,127.4739,18.43,snow,95,100,3.56,RU
156,Margate,51.3813,1.3862,43.0,clear sky,75,4,8.01,GB
157,Paraiso,9.8383,-83.8656,75.0,broken clouds,60,75,20.71,CR
158,San Jose,37.3394,-121.895,88.0,clear sky,24,1,12.66,US
159,Koulikoro,14.0,-7.75,82.18,clear sky,10,0,9.42,ML
160,Chuy,-33.6971,-53.4616,63.41,scattered clouds,70,49,8.05,UY
161,Hasaki,35.7333,140.8333,59.0,few clouds,72,20,9.22,JP
162,Dunedin,-45.8742,170.5036,57.0,overcast clouds,75,100,5.99,NZ
163,Ngunguru,-35.6167,174.5,72.0,clear sky,76,8,5.01,NZ
164,Filadelfia,39.9523,-75.1638,45.0,scattered clouds,36,40,20.71,US
165,Sorland,67.667,12.6934,38.91,overcast clouds,71,100,23.4,NO
166,Sabang,5.8933,95.3214,81.75,light rain,78,100,24.83,ID
167,Ibotirama,-12.1853,-43.2206,72.59,broken clouds,78,62,3.51,BR
168,Luau,-10.7073,22.2247,63.79,overcast clouds,96,96,2.44,AO
169,Nikolskoye,59.7035,30.7861,35.6,light snow,75,0,4.47,RU
170,Kosovska Mitrovica,42.8833,20.8667,44.6,clear sky,70,0,2.19,XK
171,Atambua,-9.1061,124.8925,73.63,overcast clouds,93,100,6.08,ID
172,Bengkulu,-3.8004,102.2655,75.69,overcast clouds,90,95,10.18,ID
173,Mendi,-6.1761,143.6513,58.37,moderate rain,95,100,1.54,PG
174,Qasigiannguit,68.8193,-51.1922,37.4,overcast clouds,60,90,25.32,GL
175,Vryburg,-26.9566,24.7284,68.76,broken clouds,48,64,3.49,ZA
176,Okato,-39.2,173.8833,62.01,clear sky,81,6,11.01,NZ
177,Nemuro,43.3236,145.575,35.89,clear sky,81,2,3.29,JP
