City_ID,City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
199,639,Berbera,SO,77.94,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
200,640,Punta Cardon,VE,78.76,broken clouds,11.6581,-70.215,Bambuda hotel
201,641,Panaba,MX,80.73,few clouds,21.2833,-88.2667,Posada rosario
202,643,Salvador,SV,87.8,clear sky,13.8333,-88.9167,Chico's Ranch
203,645,Tiarei,PF,87.8,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
204,647,Belmonte,BR,80.6,moderate rain,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
205,652,Nambour,AU,75.99,overcast clouds,-26.6333,152.95,Nambour Lodge Motel
206,657,Mareeba,AU,78.8,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
207,662,La Ermita,MX,82.72,clear sky,20.4139,-101.9936,AUTO-HOTEL BERVELY HILLS
208,670,Moerai,PF,80.53,clear sky,-22.4333,-151.3333,Le Manotel
209,675,Coalinga,US,84.0,scattered clouds,36.1397,-120.3602,Royal Lodge Motel
210,679,Anloga,GH,84.2,few clouds,5.7947,0.8973,Pin Drop Hotel
211,683,Campo Grande,BR,77.0,few clouds,-20.4428,-54.6464,Hotel Harbor Self Buriti Suítes Campo Grande
212,684,Pindiga,NG,79.88,scattered clouds,9.9833,10.9333,Accommodation Center
